"Ticker","Company Name","12/31/2015","12/31/2014","12/31/2013","12/31/2012","12/31/2011","12/31/2010","12/31/2009"
"DISCK","Discovery Com Class C","0.036%","0.049%","-","-","-","-","-"
"DLPH","Delphi Automotive","0.133%","0.117%","0.105%","0.095%","-","-","-"
"DLTR","Dollar Tree","0.096%","0.080%","0.072%","0.073%","0.087%","-","-"
"DNB","Dun & Bradstreet","0.021%","0.024%","0.028%","0.026%","0.031%","0.036%","0.044%"
"DNR","Denbury Resources Inc.","-","0.016%","0.036%","0.048%","0.052%","0.067%","0.039%"
"DO","Diamond Offshore Drilling","0.008%","0.014%","0.024%","0.037%","0.034%","0.041%","0.069%"
"DOV","Dover Corp.","0.053%","0.065%","0.100%","0.090%","0.094%","0.095%","0.078%"
"DOW","Dow Chemical","0.314%","0.279%","0.329%","0.305%","0.299%","0.347%","0.319%"
"DPS","Dr Pepper Snapple Group","0.098%","0.076%","0.059%","0.071%","0.074%","0.069%","0.073%"
"DRI","Darden Restaurants","0.041%","0.040%","0.044%","0.046%","0.051%","0.056%","0.050%"
"DTE","DTE Energy Co.","0.080%","0.084%","0.072%","0.082%","0.081%","0.067%","0.073%"
"DTV","DirecTV","-","0.241%","0.219%","0.232%","0.260%","0.283%","0.314%"
"DUK","Duke Energy","0.275%","0.326%","0.297%","0.354%","0.258%","0.207%","0.227%"
"DV","DeVry, Inc.","-","-","-","-","0.020%","0.027%","0.035%"
"DVA","DaVita Inc.","0.065%","0.072%","0.066%","0.083%","0.062%","0.058%","0.061%"
"DVN","Devon Energy Corp.","0.070%","0.130%","0.143%","0.155%","0.220%","0.297%","0.331%"
"EA","Electronic Arts","0.119%","0.080%","0.043%","0.034%","0.060%","0.048%","0.059%"
"EBAY","eBay Inc.","0.170%","0.345%","0.390%","0.468%","0.302%","0.275%","0.268%"
"ECL","Ecolab Inc.","0.170%","0.156%","0.172%","0.150%","0.148%","0.103%","0.106%"
"ED","Consolidated Edison","0.105%","0.107%","0.099%","0.128%","0.160%","0.126%","0.129%"
"EFX","Equifax Inc.","0.074%","0.053%","0.051%","0.051%","0.041%","0.038%","0.039%"
"EIX","Edison Int'l","0.108%","0.118%","0.092%","0.116%","0.119%","0.110%","0.114%"
"EK","Eastman Kodak Co.","-","-","-","-","-","-","0.011%"
"EL","Estee Lauder Cos.","0.110%","0.094%","0.111%","0.113%","0.117%","0.084%","0.058%"
"EMC","EMC Corp.","0.278%","0.334%","0.316%","0.420%","0.386%","0.413%","0.360%"
"EMN","Eastman Chemical","0.056%","0.062%","0.075%","0.082%","0.047%","0.052%","0.044%"
"EMR","Emerson Electric Co","0.174%","0.236%","0.302%","0.302%","0.301%","0.377%","0.324%"
"ENDP","Endo International plc","0.070%","-","-","-","-","-","-"
"EOG","EOG Resources","0.218%","0.279%","0.280%","0.258%","0.233%","0.203%","0.248%"
"EP","El Paso Corp.","-","-","-","-","0.180%","0.085%","0.070%"
"EQIX","Equinix Inc","0.105%","-","-","-","-","-","-"
"EQR","Equity Residential","0.166%","0.144%","0.102%","0.145%","0.149%","0.132%","0.095%"
"EQT","EQT Corporation","0.044%","0.063%","0.083%","0.070%","0.072%","0.059%","0.058%"
"ES","Eversource Energy","0.091%","0.094%","0.082%","0.097%","0.056%","0.049%","0.046%"
"ESRX","Express Scripts","0.331%","0.340%","0.331%","0.348%","0.190%","0.250%","0.240%"
"ESS","Essex Property Trust Inc","0.088%","0.073%","-","-","-","-","-"
"ESV","Ensco plc","0.020%","0.039%","0.081%","0.109%","-","-","-"
"ETFC","E*Trade Financial Corp.","0.048%","0.039%","0.034%","0.018%","0.018%","0.024%","0.026%"
"ETN","Eaton Corporation","0.134%","0.176%","0.221%","0.201%","0.128%","0.151%","0.107%"
"ETR","Entergy Corp.","0.068%","0.087%","0.069%","0.089%","0.113%","0.111%","0.156%"
"EW","Edwards Lifesciences","0.095%","0.076%","0.044%","0.081%","0.071%","-","-"
"EXC","Exelon Corp.","0.143%","0.176%","0.143%","0.200%","0.253%","0.241%","0.326%"
"EXPD","Expeditors Int'l","0.046%","0.047%","0.055%","0.064%","0.076%","0.101%","0.074%"
"EXPE","Expedia Inc.","0.070%","0.042%","0.034%","0.041%","0.022%","0.040%","0.050%"
"F","Ford Motor","0.307%","0.323%","0.365%","0.382%","0.353%","0.500%","0.327%"
"FAST","Fastenal Co.","0.066%","0.071%","0.078%","0.099%","0.102%","0.069%","0.055%"
"FB","Facebook, Inc.","1.329%","0.718%","0.493%","-","-","-","-"
"FCX","Freeport-McMoRan Inc.","0.044%","0.134%","0.239%","0.256%","0.306%","0.495%","0.348%"
"FDO","Family Dollar Stores","-","0.042%","0.037%","0.048%","0.060%","0.055%","0.039%"
"FDX","FedEx Corporation","0.214%","0.253%","0.255%","0.211%","0.231%","0.256%","0.264%"
"FE","FirstEnergy Corp","0.075%","0.091%","0.084%","0.138%","0.163%","0.099%","0.143%"
"FFIV","F5 Networks","0.037%","0.052%","0.042%","0.060%","0.074%","0.092%","-"
"FHN","First Horizon","-","-","-","0.019%","0.018%","0.027%","0.030%"
"FII","Federated Investors","-","-","-","0.015%","0.012%","0.020%","0.025%"
"FIS","Fidelity Nat. Info. Services","0.093%","0.098%","0.095%","0.069%","0.060%","0.061%","0.074%"
"FISV","Fiserv Inc","0.115%","0.094%","0.092%","0.083%","0.072%","0.075%","0.075%"
"FITB","Fifth Third Bancorp","0.089%","0.093%","0.110%","0.106%","0.103%","0.102%","0.078%"
"FLIR","FLIR Systems","0.022%","0.025%","0.026%","0.026%","0.034%","0.041%","0.050%"
"FLR","Fluor Corp.","0.037%","0.050%","0.079%","0.075%","0.075%","0.102%","0.081%"
"FLS","Flowserve Corporation","0.030%","0.044%","0.066%","0.056%","0.047%","0.057%","0.052%"
"FMC","FMC Corporation","0.029%","0.042%","0.061%","0.063%","0.053%","0.050%","0.041%"
"FOSL","Fossil, Inc.","0.008%","0.027%","0.036%","0.039%","-","-","-"
"FOX","Twenty-First Century Fox Inc Class B","0.066%","-","-","-","-","-","-"
"FOXA","Twenty-First Century Fox","0.178%","0.389%","0.418%","0.403%","0.335%","0.288%","0.311%"
"FRX","Forest Laboratories","-","-","0.087%","0.065%","0.071%","0.080%","0.098%"
"FSLR","First Solar Inc","0.028%","0.019%","0.023%","0.014%","0.016%","0.056%","0.066%"
"FTI","FMC Technologies Inc.","0.037%","0.060%","0.075%","0.080%","0.109%","0.093%","0.071%"
"FTR","Frontier Communications","0.031%","0.037%","0.028%","0.034%","0.045%","0.085%","0.025%"
"GAS","AGL Resources Inc.","0.043%","0.036%","0.034%","0.037%","0.043%","-","-"
"GAS (Old)","Nicor Inc.","-","-","-","-","-","0.020%","0.019%"
"GD","General Dynamics","0.226%","0.240%","0.194%","0.181%","0.208%","0.231%","0.265%"
"GE","General Electric","1.644%","1.401%","1.730%","1.734%","1.662%","1.706%","1.626%"
"GENZ","Genzyme Corp.","-","-","-","-","-","0.162%","0.131%"
"GGP","General Growth Properties","0.089%","0.098%","0.112%","-","-","-","-"
"GHC","Graham Holdings","-","-","0.018%","0.013%","0.016%","0.021%","0.027%"
"GILD","Gilead Sciences","0.815%","0.780%","0.703%","0.440%","0.271%","0.254%","0.393%"
"GIS","General Mills Inc.","0.191%","0.178%","0.190%","0.206%","0.229%","0.198%","0.236%"
"GLW","Corning Inc.","0.121%","0.162%","0.157%","0.147%","0.179%","0.264%","0.303%"
"GM","General Motors","0.269%","0.260%","0.194%","-","-","-","-"
"GMCR","Keurig Green Mountain","0.059%","0.089%","-","-","-","-","-"
"GME","GameStop Corp.","0.016%","0.020%","0.035%","0.024%","0.029%","0.030%","0.036%"
"GNW","Genworth Financial Inc.","-","0.023%","0.047%","0.029%","0.028%","0.056%","0.056%"
"GOOG","Alphabet Inc. Class C","1.261%","0.851%","-","-","-","-","-"
"GOOGL","Alphabet Inc. Class A","1.267%","0.840%","1.860%","1.489%","1.420%","1.286%","1.512%"
"GPC","Genuine Parts","0.072%","0.090%","0.078%","0.078%","0.084%","0.071%","0.061%"
"GPS","Gap Inc.","0.032%","0.062%","0.066%","0.073%","0.052%","0.082%","0.101%"
"GR","Goodrich Corp.","-","-","-","-","0.136%","0.096%","0.081%"
"GRMN","Garmin Ltd.","0.024%","0.035%","0.031%","0.035%","-","-","-"
"GS","Goldman Sachs Group","0.400%","0.434%","0.461%","0.444%","0.391%","0.753%","0.876%"
"GT","Goodyear Tire & Rubber","0.049%","0.043%","0.036%","0.027%","0.030%","0.025%","0.034%"
"GWW","W. W. Grainger, Inc.","0.065%","0.084%","0.092%","0.095%","0.098%","0.071%","0.060%"
"HAL","Halliburton Co.","0.163%","0.184%","0.263%","0.254%","0.279%","0.328%","0.274%"
